"text_id","title","short_title"
"72","Uḍḍāmareśvaratantra","UddIsT"
"125","Vaikhānasadharmasūtra","VaiDhSu"
"239","Vaikhānasagṛhyasūtra","VaiGrSu"
"553","Vaikhānasaśrautasūtra","VaiSrSu"
"535","Vaitānasūtra","VaitSu"
"369","Vaiśeṣikasūtra","VaisSu"
"371","Vaiśeṣikasūtravṛtti","VaisSuVr"
"342","Varāhapurāṇa","VPur"
"559","Vasiṣṭhadharmasūtra","VDhSu"
"323","Vetālapañcaviṃśatikā","VePVi"
"304","Viṃśatikākārikā","ViKa"
"305","Viṃśatikāvṛtti","ViVr"
"400","Viṣṇupurāṇa","ViPur"
"338","Viṣṇusmṛti","ViSmr"
"523","Vājasaneyisaṃhitā (Mādhyandina)","VaSam"
"130","Vārāhagṛhyasūtra","VaGrSu"
"564","Vārāhaśrautasūtra","VaSrSu"
"63","Vātūlanāthasūtras","VaNaSu"
"64","Vātūlanāthasūtravṛtti","VaNaSuVr"
"137","Vṛddhayamasmṛti","VrYaSmr"
"321","Yogaratnākara","YoRAk"
"52","Yogasūtra","YoSu"
"381","Yogasūtrabhāṣya","YoSuBha"
"385","Yājñavalkyasmṛti","YaSmr"
"294","Ānandakanda","AnK"
"550","Āpastambadharmasūtra","ApDhSu"
"318","Āpastambagṛhyasūtra","ApGrSu"
"504","Āpastambaśrautasūtra","ApSrSu"
"431","Āryāsaptaśatī","ArSS"
"148","Āyurvedadīpikā","AyDi"
"319","Āśvalāyanagṛhyasūtra","AsvGrSu"
"508","Āśvālāyanaśrautasūtra","AsvSrSu"
"445","Śatakatraya","STr"
"394","Śatapathabrāhmaṇa","SPBra"
"109","Śiropaniṣad","SiUp"
"344","Śivapurāṇa","SiPur"
"44","Śivasūtra","SiSu"
"45","Śivasūtravārtika","SiSuVa"
"436","Śukasaptati","SuSa"
"366","Śvetāśvataropaniṣad","SveUp"
"426","Śyainikaśāstra","SyaiSa"
"129","Śāktavijñāna","SaVi"
"280","Śārṅgadharasaṃhitā","SaSam"
"281","Śārṅgadharasaṃhitādīpikā","SaSamDi"
"353","Śāṅkhāyanagṛhyasūtra","SaGrSu"
"547","Śāṅkhāyanaśrautasūtra","SaSrSu"
"440","Śāṅkhāyanāraṇyaka","SaAr"
"450","Ṛgveda","RV"
"497","Ṛgvedakhilāni","RVKhi"
"33","Ṛgvedavedāṅgajyotiṣa","RVAJy"
"552","Ṛgvidhāna","RVi"
"193","Ṛtusaṃhāra","RtSam"
"567","Ṣaḍviṃśabrāhmaṇa","SViBra"
"75","Ṭikanikayātrā","TiYa"
